,Participants,Masks,Straight Train Accuracy,Rotated Train Accuracy,Straight Test Accuracy,Rotated Test Accuracy
99,18,sup_parietal,0.6437499999999999,0.59375,0.75,0.7
100,18,inf_parietal,0.50625,0.6,0.525,0.675
101,18,v5,0.71875,0.7124999999999999,0.725,0.7
102,19,premotor,0.5874999999999999,0.5375,0.6,0.775
103,19,motor,0.56875,0.48124999999999996,0.6,0.65
104,19,v1,0.9375,0.8687499999999999,1.0,0.95
105,19,sup_parietal,0.4,0.4375,0.525,0.55
106,19,inf_parietal,0.5375,0.48750000000000004,0.625,0.65
107,19,v5,0.47500000000000003,0.46875,0.4,0.5
108,20,premotor,0.6937500000000001,0.69375,0.775,0.875
109,20,motor,0.59375,0.59375,0.6,0.775
110,20,v1,0.9750000000000001,0.96875,0.95,0.975
111,20,sup_parietal,0.5437500000000001,0.5750000000000001,0.5,0.675
112,20,inf_parietal,0.51875,0.625,0.6,0.675
113,20,v5,0.58125,0.65,0.45,0.625
114,22,premotor,0.7437499999999999,0.7937500000000001,0.8,0.675
115,22,motor,0.6000000000000001,0.7125,0.6,0.75
116,22,v1,0.9875,0.99375,1.0,1.0
117,22,sup_parietal,0.7187500000000001,0.725,0.7,0.7
118,22,inf_parietal,0.50625,0.5625,0.65,0.675
119,22,v5,0.6625,0.70625,0.725,0.725
120,23,premotor,0.575,0.65625,0.625,0.725
121,23,motor,0.5375,0.6312500000000001,0.625,0.675
122,23,v1,0.9875,0.875,1.0,0.975
123,23,sup_parietal,0.58125,0.5125,0.8,0.6
124,23,inf_parietal,0.40625,0.48125,0.55,0.675
125,23,v5,0.53125,0.58125,0.525,0.425
126,24,premotor,0.6499999999999999,0.7375,0.775,0.8
127,24,motor,0.5625,0.58125,0.775,0.65
128,24,v1,0.925,0.9625,0.95,1.0
129,24,sup_parietal,0.6875,0.65625,0.8,0.7
130,24,inf_parietal,0.58125,0.5625,0.675,0.6
131,24,v5,0.625,0.6375,0.55,0.675
132,25,premotor,0.575,0.6312500000000001,0.675,0.675
133,25,motor,0.50625,0.66875,0.575,0.575
134,25,v1,0.9125000000000001,0.8125,0.95,0.875
135,25,sup_parietal,0.50625,0.5750000000000001,0.65,0.475
136,25,inf_parietal,0.45625000000000004,0.4625,0.55,0.5
137,25,v5,0.5375000000000001,0.59375,0.575,0.625
138,26,premotor,0.5750000000000001,0.63125,0.725,0.85
139,26,motor,0.575,0.5625,0.4,0.675
140,26,v1,0.99375,0.9437500000000001,1.0,0.975
141,26,sup_parietal,0.5562499999999999,0.54375,0.55,0.75
142,26,inf_parietal,0.44375,0.63125,0.525,0.85
143,26,v5,0.5375,0.59375,0.625,0.5
