,Participants,Masks,Target Location Straight,Target Location Rotate,Kl Div
151,02,sup_parietal,207,99,2.2920915334133953
152,02,sup_parietal,45,153,2.1110089875073452
153,02,sup_parietal,45,207,2.154881847347198
154,02,sup_parietal,45,45,1.8175138629049665
155,02,sup_parietal,45,99,2.760768010273023
156,02,sup_parietal,99,153,1.9106986912698214
157,02,sup_parietal,99,207,2.389909942755113
158,02,sup_parietal,99,45,1.4812151212185338
159,02,sup_parietal,99,99,2.4647336674358598
160,02,inf_parietal,153,153,1.942273772197682
161,02,inf_parietal,153,207,1.4664976083845238
162,02,inf_parietal,153,45,1.129697946151243
163,02,inf_parietal,153,99,1.359552618771361
164,02,inf_parietal,207,153,1.9130087506838382
165,02,inf_parietal,207,207,1.624936941327236
166,02,inf_parietal,207,45,1.6196435934595386
167,02,inf_parietal,207,99,1.408596425031042
168,02,inf_parietal,45,153,2.583125677459319
169,02,inf_parietal,45,207,1.50832428728177
170,02,inf_parietal,45,45,1.6504588939927356
171,02,inf_parietal,45,99,1.8575789768900695
172,02,inf_parietal,99,153,2.03046406233147
173,02,inf_parietal,99,207,1.7834389435002496
174,02,inf_parietal,99,45,1.3262160788185886
175,02,inf_parietal,99,99,1.6313800827605567
176,02,v5,153,153,3.632640551395177
177,02,v5,153,207,2.2475675746369532
178,02,v5,153,45,1.0439461500965734
179,02,v5,153,99,2.401686908007398
180,02,v5,207,153,3.3351498578825125
181,02,v5,207,207,4.415079163895985
182,02,v5,207,45,1.315816027788295
183,02,v5,207,99,2.7295102419075343
184,02,v5,45,153,2.455804388229133
185,02,v5,45,207,3.4920797933683665
186,02,v5,45,45,1.2426956629795005
187,02,v5,45,99,2.347044084598484
188,02,v5,99,153,2.87147914406947
189,02,v5,99,207,2.816306802074113
190,02,v5,99,45,0.9191149091516315
191,02,v5,99,99,1.8844600375440486
192,03,premotor,153,153,1.4940289479702051
193,03,premotor,153,207,1.6084347053642405
194,03,premotor,153,45,1.4692640014152505
195,03,premotor,153,99,1.5377987541014548
196,03,premotor,207,153,1.544970175261612
197,03,premotor,207,207,1.6300003218777253
198,03,premotor,207,45,1.5132952270551967
199,03,premotor,207,99,1.5904000836465295
200,03,premotor,45,153,1.7178806585801456
201,03,premotor,45,207,1.5534188906974165
202,03,premotor,45,45,1.5707205372992172
203,03,premotor,45,99,1.6360648359083279
204,03,premotor,99,153,1.6680095186486492
205,03,premotor,99,207,1.7594924676979184
206,03,premotor,99,45,1.4619439475065579
207,03,premotor,99,99,1.6185203363958287
208,03,motor,153,153,1.5210094781087746
209,03,motor,153,207,1.6538740663544949
210,03,motor,153,45,1.7112081318409684
211,03,motor,153,99,2.16927613156295
212,03,motor,207,153,1.70617588777434
213,03,motor,207,207,1.6515706835601651
214,03,motor,207,45,1.5641557818529892
215,03,motor,207,99,1.6822134857435338
216,03,motor,45,153,1.7753092754532274
217,03,motor,45,207,1.5656310950943129
218,03,motor,45,45,1.5790407304520984
219,03,motor,45,99,2.177033723886706
220,03,motor,99,153,1.99637949510738
221,03,motor,99,207,1.5428597437230864
222,03,motor,99,45,1.90302448767111
223,03,motor,99,99,2.0461623893684946
224,03,v1,153,153,1.546539810163902
225,03,v1,153,207,1.284402012474776
226,03,v1,153,45,1.3220237625834697
227,03,v1,153,99,1.3511143637771945
228,03,v1,207,153,1.3873020557325033
229,03,v1,207,207,1.2873669568648696
230,03,v1,207,45,1.3514389864798584
231,03,v1,207,99,1.5623293266395877
232,03,v1,45,153,1.2516981886755132
233,03,v1,45,207,0.9831514046805916
234,03,v1,45,45,1.1861910251843928
235,03,v1,45,99,1.4250243186559355
236,03,v1,99,153,1.215845825799485
237,03,v1,99,207,1.0952105446587612
238,03,v1,99,45,1.090026972405
239,03,v1,99,99,1.3644084527381422
240,03,sup_parietal,153,153,2.577810694456084
241,03,sup_parietal,153,207,2.0476647403809562
242,03,sup_parietal,153,45,2.8679956262488187
243,03,sup_parietal,153,99,2.5579632292576697
244,03,sup_parietal,207,153,2.9881168379685143
245,03,sup_parietal,207,207,1.7917133827441858
246,03,sup_parietal,207,45,2.430171256546668
247,03,sup_parietal,207,99,1.8495599976069514
248,03,sup_parietal,45,153,2.227282498962106
249,03,sup_parietal,45,207,2.2441833939696347
250,03,sup_parietal,45,45,2.3091580441994513
251,03,sup_parietal,45,99,3.1975912068099506
252,03,sup_parietal,99,153,3.1987413417335424
253,03,sup_parietal,99,207,2.3339169895528107
254,03,sup_parietal,99,45,1.9824878322799848
255,03,sup_parietal,99,99,2.16683275339144
256,03,inf_parietal,153,153,1.7869175064578777
257,03,inf_parietal,153,207,2.1737594586281324
258,03,inf_parietal,153,45,1.5906420147111135
259,03,inf_parietal,153,99,1.7741074504861511
260,03,inf_parietal,207,153,1.75130101841508
261,03,inf_parietal,207,207,1.735931100475197
262,03,inf_parietal,207,45,1.6876926248865005
263,03,inf_parietal,207,99,2.0778451357997585
264,03,inf_parietal,45,153,2.01007095765644
265,03,inf_parietal,45,207,1.6513025043661476
266,03,inf_parietal,45,45,1.6511720376739634
267,03,inf_parietal,45,99,1.867072289241813
268,03,inf_parietal,99,153,1.8026700551486532
269,03,inf_parietal,99,207,1.9191984532775321
270,03,inf_parietal,99,45,1.4700636040185835
271,03,inf_parietal,99,99,1.9282825587269836
272,03,v5,153,153,3.2171573637433513
273,03,v5,153,207,2.782755639931191
274,03,v5,153,45,2.8695747286286633
275,03,v5,153,99,2.6073858938245875
276,03,v5,207,153,1.7242879260147501
277,03,v5,207,207,2.3915995418824925
278,03,v5,207,45,2.7488118879720265
279,03,v5,207,99,2.3923307752248393
280,03,v5,45,153,1.6506191509393136
281,03,v5,45,207,2.216423221612315
282,03,v5,45,45,1.8813813741079857
283,03,v5,45,99,3.9257150236741873
284,03,v5,99,153,1.7526687624740973
285,03,v5,99,207,2.613173147605912
286,03,v5,99,45,3.2807747668026472
287,03,v5,99,99,2.4406195050694084
288,04,premotor,153,153,1.3753192961015406
289,04,premotor,153,207,1.3980585306075264
290,04,premotor,153,45,1.5027428439618664
291,04,premotor,153,99,1.4869552368684087
292,04,premotor,207,153,1.4417802531967299
293,04,premotor,207,207,1.4833530228542646
294,04,premotor,207,45,1.4574747864099233
295,04,premotor,207,99,1.4127160122917681
296,04,premotor,45,153,1.534557088984089
297,04,premotor,45,207,1.3958026758529722
298,04,premotor,45,45,1.539980943227576
299,04,premotor,45,99,1.4836292124647328
300,04,premotor,99,153,1.4777876378687953
301,04,premotor,99,207,1.4585584266431664
302,04,premotor,99,45,1.4250935169347638
303,04,premotor,99,99,1.6184311927252635
304,04,motor,153,153,1.670397317576499
305,04,motor,153,207,1.712432711295898
306,04,motor,153,45,1.5599947574971613
307,04,motor,153,99,1.6415514295447744
308,04,motor,207,153,1.60715335575581
309,04,motor,207,207,1.7069708053477846
310,04,motor,207,45,1.7499003918982199
311,04,motor,207,99,1.622191939792945
312,04,motor,45,153,1.872057773785758
313,04,motor,45,207,1.5347747233002786
314,04,motor,45,45,1.450193339180137
315,04,motor,45,99,1.30730958764571
316,04,motor,99,153,1.4831237367621881
317,04,motor,99,207,1.7422275518078836
318,04,motor,99,45,1.3204602296062906
319,04,motor,99,99,1.7805477669877336
320,04,v1,153,153,1.151055838229563
321,04,v1,153,207,1.0670079373802435
322,04,v1,153,45,0.8465778116678068
323,04,v1,153,99,1.1263417756072398
324,04,v1,207,153,1.1654701034067831
325,04,v1,207,207,1.0519030357416588
326,04,v1,207,45,1.0474602093238121
327,04,v1,207,99,1.454660457966387
