,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
118,01,v1,207,2,45,0.04603364728697186
119,01,v1,207,2,99,0.05069839703769474
120,01,v1,45,0,153,-0.01967027697230477
121,01,v1,45,0,207,0.03638295186992794
122,01,v1,45,0,45,0.043397419835722095
123,01,v1,45,0,99,0.05448472315542348
124,01,v1,45,1,153,-0.014865481028068688
125,01,v1,45,1,207,-0.02776126397308029
126,01,v1,45,1,45,0.03217699184230464
127,01,v1,45,1,99,-0.07190813912425803
128,01,v1,45,2,153,0.005671937262046095
129,01,v1,45,2,207,-0.02470052443227102
130,01,v1,45,2,45,-0.032774178585983894
131,01,v1,45,2,99,-0.030962677618526648
132,01,v1,99,0,153,0.005595125956288075
133,01,v1,99,0,207,0.028988318751468657
134,01,v1,99,0,45,0.004850059512585585
135,01,v1,99,0,99,0.009777734245870863
136,01,v1,99,1,153,-0.07154622885375528
137,01,v1,99,1,207,-0.01784116335717644
138,01,v1,99,1,45,-0.0267181660632319
139,01,v1,99,1,99,0.006377296400100188
140,01,v1,99,2,153,-0.02515439510221873
141,01,v1,99,2,207,-0.026291651671804694
142,01,v1,99,2,45,-0.036332799547233965
143,01,v1,99,2,99,-0.04751396864843141
144,01,sup_parietal,153,0,153,-0.04007093373571219
145,01,sup_parietal,153,0,207,0.0035526073220178474
146,01,sup_parietal,153,0,45,0.0012540918545253382
147,01,sup_parietal,153,0,99,-0.04649978519726062
148,01,sup_parietal,153,1,153,-0.04049657574051257
149,01,sup_parietal,153,1,207,-0.030792222944364803
150,01,sup_parietal,153,1,45,0.007085086000929252
151,01,sup_parietal,153,1,99,-0.01710474892902892
152,01,sup_parietal,153,2,153,-0.0466950333593268
153,01,sup_parietal,153,2,207,-0.005366481846665525
154,01,sup_parietal,153,2,45,-0.014818580596426587
155,01,sup_parietal,153,2,99,-0.02074898508617039
156,01,sup_parietal,207,0,153,0.008435484007226247
157,01,sup_parietal,207,0,207,0.012022383385898911
158,01,sup_parietal,207,0,45,-0.0022922271315458445
