,runs,block_type,ROIs,45_45,45_99,45_153,45_207,99_45,99_99,99_153,99_207,153_45,153_99,153_153,153_207,207_45,207_99,207_153,207_207,participant_id
0,1,Straight,premotor,0.16686987005582732,-0.17862286703386984,-0.1786206217327239,-0.2363125142534436,-0.15453277128407514,0.2454724157222639,-0.016794572709935233,-0.21737206429298955,-0.02366634337812878,-0.2006486469679956,0.0132745171323695,-0.3370417090814077,-0.14548413757570328,-0.13780086081724746,-0.23077816817847616,0.16147399109332822,01
1,1,Straight,motor,0.1822934988850228,-0.14225561390748925,-0.1963392135529849,-0.2138428866112603,-0.1551067230092909,0.20157224470524496,0.14721015167961965,-0.17547782202542633,-0.06107392886994852,-0.12395527092591074,-0.11940387205268185,-0.3362997887917779,-0.1395174399294553,-0.1852797661812764,-0.2472667358973585,0.12615537896286905,01
2,1,Straight,v1,0.15513191074358518,-0.08398836036985244,0.06370465942099247,-0.2307070913714579,-0.09996654628322638,0.19360425750354127,0.1017339587743344,-0.3189779816637157,-0.15663293321199756,-0.09203346962282004,-0.10353259022826317,-0.2085742928811165,-0.08295212785008582,-0.3103633462596602,-0.3784362584539956,0.2635220395750472,01
3,1,Straight,sup_parietal,0.2481422335015938,-0.0962825558605277,-0.06366297174830449,-0.33042049400682777,0.1189304989195537,0.17961677276141486,0.1170143380253903,-0.35021029356589795,-0.09428421085494272,-0.15914688411504233,-0.08215836670052852,-0.22638020582543064,-0.12427976858798265,-0.27983620576277823,-0.3648593284511056,0.2825454082464872,01
4,1,Straight,inf_parietal,0.3232813620801089,-0.2318179919859068,-0.15022577910481866,-0.3265522672822945,-0.17311953274127895,0.18702389437856706,0.10064852416860802,-0.11663698874309475,-0.12163477493684098,-0.07921044495900438,0.06331989280958739,-0.4544714696906833,-0.14124357086332304,-0.04444264287915998,-0.33267005368027425,0.22471512184493195,01
5,1,Straight,somatosensory,0.09892134641990052,-0.20538243340912732,-0.11844525477173895,-0.0943447109672943,-0.1124614949043521,0.2581878500848657,0.1532701126638819,-0.2343502298823101,-0.09881790224456054,-0.14179649209843093,-0.11114386957402707,-0.21852967652869013,-0.003651065754439071,-0.07780707871779137,-0.3197419694031807,-0.04622067900956078,01
6,2,Rotate,premotor,0.4748529671208269,-0.3327349799668358,-0.07150228567757885,-0.2367538701680665,-0.20885142330067133,0.2028511571292821,-0.14961077910241888,-0.060885170263651416,-0.38649218932589263,-0.04518537215410898,0.031164824867736193,0.003652732497167144,-0.03578547147909907,-0.3537040056364724,-0.06026874124376574,0.014032659874225254,01
7,2,Rotate,motor,0.39575879267012143,-0.4345425328154596,0.023328499708301642,-0.22924812069221426,-0.22192993353638307,0.1867700547690204,-0.16422525616727787,-0.09953208668621877,-0.34874354257992146,-0.012274698921988264,0.054015599534022685,-0.06423893884289646,-0.0073799370296561,-0.3107426812270828,-0.09078959515665196,0.0016913249931444045,01
8,2,Rotate,v1,0.5836317619421503,-0.5000471054971329,-0.21755503338108648,-0.21710765637191906,-0.19162916434622684,0.18531471363515947,-0.08387098375981028,-0.03428899818101604,-0.3289929641369306,0.08175883716949565,0.11609470958366246,-0.16223540187600038,-0.009737725026930077,-0.32944207714059937,0.02061923332864819,0.039421843587166695,01
9,2,Rotate,sup_parietal,0.5640302222900491,-0.5356702317747185,-0.07217826612226183,-0.2191676034053512,-0.11935656180329987,-0.061549275027781236,-0.1853986774571844,0.0653483252277001,-0.5495539585660243,0.25864335952577083,-0.0550803847304886,-0.11059621132924012,-0.2745418704850015,-0.2956489484295901,0.005826949284823942,-0.18707669924029796,01
10,2,Rotate,inf_parietal,0.3978724591528297,-0.4488689962290427,-0.04364224317523212,-0.16447359100851053,-0.15320824964791568,0.14622596852534175,-0.2700884876479269,-0.014219781870259771,-0.12068635138489722,-0.03770879150186348,0.0223159893263929,-0.1562120724282592,-0.11753398577218073,-0.27489787651641306,0.054394076118487344,0.015802670073325656,01
11,2,Rotate,somatosensory,0.5392821178476068,-0.5902779068350966,-0.10078077542157823,-0.17028173766231794,-0.2789143683820345,0.28802650396517193,-0.0874028116495646,-0.06231225163853722,-0.34090680196076106,0.06966552595610648,0.1311124309046588,-0.12333468006637452,0.002955584681256741,-0.3742422785853013,-0.018652790497167702,0.0642057446264099,01
