,Participants,Masks,Straight Train Accuracy,Rotated Train Accuracy,Straight Test Accuracy,Rotated Test Accuracy
95,17,v5,0.73125,0.7500000000000001,0.85,0.925
96,18,premotor,0.9562499999999999,0.95625,0.975,0.975
97,18,motor,0.9625,0.91875,0.975,1.0
98,18,v1,0.975,0.975,1.0,1.0
99,18,sup_parietal,0.9,0.925,0.875,0.9
100,18,inf_parietal,0.9124999999999999,0.95,0.975,0.9
101,18,v5,0.7875,0.81875,0.925,0.9
102,19,premotor,0.89375,0.9437500000000001,0.975,0.975
103,19,motor,0.90625,0.90625,1.0,0.95
104,19,v1,0.875,0.8875,0.925,0.975
105,19,sup_parietal,0.80625,0.8500000000000001,0.975,0.95
106,19,inf_parietal,0.8999999999999999,0.9,0.95,0.95
107,19,v5,0.8312499999999999,0.7562500000000001,0.7,0.825
108,20,premotor,0.96875,0.9875,0.975,1.0
109,20,motor,0.93125,0.9625,0.975,0.825
110,20,v1,0.99375,0.9812500000000001,0.975,0.975
111,20,sup_parietal,0.93125,0.85625,0.9,0.95
112,20,inf_parietal,0.9187500000000001,0.8625,0.975,0.95
113,20,v5,0.75,0.8062499999999999,0.875,0.7
114,22,premotor,0.94375,0.9624999999999999,0.975,1.0
115,22,motor,0.95,0.98125,0.925,1.0
116,22,v1,0.99375,0.98125,0.975,1.0
117,22,sup_parietal,0.9,0.89375,0.925,0.9
118,22,inf_parietal,0.925,0.93125,0.975,0.95
119,22,v5,0.84375,0.8625,0.8,0.95
120,23,premotor,0.9624999999999999,0.9249999999999999,0.925,0.95
121,23,motor,0.875,0.8812500000000001,0.9,0.925
122,23,v1,0.95,0.95625,1.0,0.975
123,23,sup_parietal,0.75,0.88125,0.95,0.9
124,23,inf_parietal,0.85,0.8375,0.925,0.95
125,23,v5,0.84375,0.7937500000000001,0.85,0.8
126,24,premotor,0.925,0.9875,1.0,1.0
127,24,motor,0.9375,0.9750000000000001,0.925,0.975
128,24,v1,0.9249999999999999,0.9249999999999999,1.0,1.0
129,24,sup_parietal,0.88125,0.875,0.975,0.875
130,24,inf_parietal,0.875,0.8437500000000001,0.975,1.0
131,24,v5,0.8125,0.8125,0.85,0.875
132,25,premotor,0.90625,0.96875,0.975,0.975
133,25,motor,0.9125,0.9312499999999999,0.95,0.95
134,25,v1,0.95,0.96875,0.975,1.0
135,25,sup_parietal,0.85,0.7875,0.95,0.95
136,25,inf_parietal,0.85625,0.825,0.925,0.925
137,25,v5,0.7562500000000001,0.7562500000000001,0.825,0.75
138,26,premotor,0.9562499999999999,0.9625,1.0,0.975
139,26,motor,0.95,0.975,0.975,0.95
140,26,v1,0.9812500000000001,0.98125,1.0,0.975
141,26,sup_parietal,0.8749999999999999,0.9187500000000001,0.95,0.925
142,26,inf_parietal,0.95625,0.9125,0.95,0.925
143,26,v5,0.83125,0.8062499999999999,0.775,0.925
