,participant_id,masks,l1,l2,l3,l4
0,01,premotor,-0.03327639919846531,-0.024134301486559276,0.17446197468621535,-0.0630379003121903
1,01,motor,0.00430604107514726,0.1128513804825867,0.03841377302792103,-0.023373542445538468
2,01,v1,-0.04192064511094958,-0.05523022607795709,-0.07438499299275536,-0.036796795677008554
3,01,sup_parietal,0.0561864036702227,-0.09143415956570827,-0.0974577498914048,-0.0245812329632423
4,01,inf_parietal,-0.003682321656247864,-0.11604787317326778,-0.0200304269061956,0.10740872615660393
5,01,v5,0.050456739343204215,0.0235777775214744,-0.019919374062187092,0.005555968679875137
6,02,premotor,0.12583813100891328,-0.13234962479516116,-0.2446361492955515,-0.18654819097605696
7,02,motor,0.0006389256203715166,0.03738750559041334,-0.20455975403839743,0.06166374550185105
8,02,v1,0.10424247868592362,-0.08063487976355269,-0.18390659525274744,0.059900507642966234
9,02,sup_parietal,-0.017034577927461284,-0.006927573617902416,-0.048485311400209063,0.05813987846599096
10,02,inf_parietal,-0.00457072764865896,-0.056008193821497326,-0.07137779258219801,-0.05920605912777613
11,02,v5,-0.0861012302845693,-0.02762900344190361,-0.1094679525639928,-0.07481255092597269
12,03,premotor,0.10142016381782437,0.04342760789307627,0.08846130576785191,-0.18606593619982403
13,03,motor,0.04183372217405249,-0.10503412606440943,0.06729776083748243,0.005349188525176407
14,03,v1,-0.10786315532617531,0.08762845786783155,-0.03993889137503073,-0.19374798050535277
15,03,sup_parietal,0.003034198804955285,-0.16801128207503074,0.02000042324246716,-0.15197867718892488
16,03,inf_parietal,-0.12876292194468827,-0.013278668438868338,0.008283701917080555,-0.03373349153263602
17,03,v5,0.05438091748957737,-0.14265393743481794,0.02239056947616947,0.1869591601161602
18,04,premotor,0.021887616961121514,-0.062220077094119086,-0.06859742193758117,0.13274378510821855
19,04,motor,-0.13171390176835954,0.013899476580699142,-0.15914311657044644,0.08710504298952444
20,04,v1,-0.07778819672171294,-0.15975364065668718,0.0425917443967734,0.12151044881643079
21,04,sup_parietal,0.07452127597896453,0.1378998024439626,0.021816346296093893,0.06133360966709516
22,04,inf_parietal,0.042258347194682036,-0.07101441148220526,0.0691049578896716,0.2670104296901253
23,04,v5,-0.07632192156688916,0.1948200073198395,0.059117274502975076,-0.03341383213139529
24,05,premotor,0.3053607289678866,-0.026196459987184208,0.037192346372209154,0.052918822215798744
25,05,motor,-0.07620811362308705,-0.10339200689558914,-0.1130337605440911,-0.050670066860418486
26,05,v1,-0.02269356611438339,0.09666135010126589,-0.06437335309242331,0.0348365410334212
27,05,sup_parietal,0.05305020164257071,0.11606502092289359,0.12124387802601531,-0.10466791271460975
28,05,inf_parietal,-0.025958954831730347,-0.003713118151357088,-0.061883615437878445,0.037877341014607366
29,05,v5,-0.16494432005179585,0.073607764130294,0.018444178048540715,-0.04524596079353818
30,06,premotor,0.022709058301257128,0.09799159672027818,-0.09026984315613747,0.06473358310607857
31,06,motor,0.10388789023952767,0.07814393637351544,-0.07336785406019335,-0.0269674740004813
32,06,v1,0.06585249606874156,0.05437116264796459,0.13091128361940058,0.20290700405567658
33,06,sup_parietal,-0.02559905337489867,0.10071473152477665,-0.03919895030818207,-0.08031776771738956
34,06,inf_parietal,-0.005536560252485362,0.18051923885259546,0.057499370298995225,-0.0706164076227955
35,06,v5,-0.23273980110219594,0.08012642486572327,-0.006376458654422684,-0.016812528034616366
36,07,premotor,-0.1826626480918109,0.08922474677328705,0.2040827766241745,0.006414404068843749
37,07,motor,-0.035317784180508245,-0.12038135649774084,-0.09848439076622094,0.050695042219135
38,07,v1,-0.0362669498158919,-0.08883290952916062,-0.14277038154764893,0.036473886789207134
39,07,sup_parietal,0.08638904833582547,-0.05534139686172438,-0.007473986994037153,-0.03736369647032376
40,07,inf_parietal,0.0008718551071488431,0.009737624079354756,-0.1176281293511487,0.09737834328563837
41,07,v5,0.0391870958644234,0.1767909149758894,0.12955054535599908,0.1119180022240373
42,08,premotor,-0.0036228780995870014,-0.10552796112085003,-0.1317819281064725,-0.024910661821023854
43,08,motor,-0.1051936612659978,0.05403645119839228,-0.0016595809559505903,-0.15762036589674958
44,08,v1,0.09097394534375684,0.1895852163932092,-0.020601835420507197,-0.004032543329894424
45,08,sup_parietal,-0.06456775498895913,-0.09313506101090133,-0.03882611276827795,0.062133867980457544
46,08,inf_parietal,0.03334598963403325,-0.0797019746741108,-0.08420542015036059,0.06891681809574458
47,08,v5,-0.10229786341570148,0.08865083856388611,0.05689964480361323,0.03629011644246034
48,09,premotor,0.02860014642665462,0.03577966574747536,0.04391407904991579,0.22268203488191418
49,09,motor,0.05490689099596116,-0.07578544627787054,-0.009380271950063898,0.1182687000017558
50,09,v1,-0.09049496402333816,-0.1937552326736066,-0.13769312461645156,-0.020505457391007186
51,09,sup_parietal,0.11472596003148751,-0.003550888129800811,-0.02528763845049214,-0.16127440468902063
52,09,inf_parietal,-0.037202689661229915,0.03199828193761603,-0.1029216975387702,0.08592585425395122
53,09,v5,0.038089198326516395,0.11396576934874686,-0.05362496273751331,-0.03423487108405531
54,11,premotor,-0.07959000325241115,-0.0019530413430639756,-0.14975018991352151,-0.154016244684486
55,11,motor,0.11818964536154872,0.08571374155083017,-0.15666548681333434,0.027441141661979994
56,11,v1,-0.04321858377045033,-0.08748989728802933,0.04932938247008327,0.14755350657990512
57,11,sup_parietal,-0.044669339585363774,0.003281629091207078,0.026284775829240624,-0.02471445659898283
58,11,inf_parietal,-0.047034442610953464,-0.07783764921119443,-0.06857856054492617,-0.2430593176138375
