,Participants,Masks,Straight Shooter Train Accuracy,Rotated Train Accuracy
133,25,motor,0.28,0.31
134,25,v1,0.49000000000000005,0.39
135,25,sup_parietal,0.255,0.315
136,25,inf_parietal,0.18,0.19
137,25,v5,0.32,0.20999999999999996
138,26,premotor,0.24500000000000002,0.38
139,26,motor,0.19,0.515
140,26,v1,0.8950000000000001,0.72
141,26,sup_parietal,0.29500000000000004,0.39499999999999996
142,26,inf_parietal,0.20500000000000002,0.265
143,26,v5,0.32000000000000006,0.27
