,Participants,Masks,Rotate Direction,Straight Direction,Correlation
0,01,premotor,153,153,-0.012954058779611505
1,01,premotor,153,207,-0.01189728259267631
2,01,premotor,153,45,0.005264823661641507
3,01,premotor,153,99,0.02934109413646735
4,01,premotor,207,153,0.01604981164510043
5,01,premotor,207,207,-0.018916042742875772
6,01,premotor,207,45,0.012297997293212813
7,01,premotor,207,99,0.00502901584595461
8,01,premotor,45,153,0.005814484912158153
9,01,premotor,45,207,0.011686697995579842
10,01,premotor,45,45,0.0010926717758457244
11,01,premotor,45,99,-0.028314655299951027
12,01,premotor,99,153,-0.0012243111852728757
13,01,premotor,99,207,0.037308753839216835
14,01,premotor,99,45,-0.023310918669263672
15,01,premotor,99,99,-0.02461367856161048
16,01,motor,153,153,-0.02854583009246904
17,01,motor,153,207,0.04845556941446911
18,01,motor,153,45,0.027363114317491728
19,01,motor,153,99,-0.06125229629915721
20,01,motor,207,153,0.005621376098110252
21,01,motor,207,207,0.05154801632481018
22,01,motor,207,45,-0.028009604803823446
23,01,motor,207,99,-0.026888530756862695
24,01,motor,45,153,0.022880914515621496
25,01,motor,45,207,-0.0765807967252938
26,01,motor,45,45,0.01445109301564778
27,01,motor,45,99,0.061332547411345834
28,01,motor,99,153,-0.005299933399305138
29,01,motor,99,207,-0.013815184962296223
30,01,motor,99,45,-0.02035159238897407
31,01,motor,99,99,0.03087498510891036
32,01,v1,153,153,0.0543524905566162
33,01,v1,153,207,-0.011707929378895842
34,01,v1,153,45,-0.006796413432442486
35,01,v1,153,99,-0.0378948802073852
36,01,v1,207,153,-0.047085120995493654
37,01,v1,207,207,0.01859250277583296
38,01,v1,207,45,0.018888907468360073
39,01,v1,207,99,0.006721515817084887
40,01,v1,45,153,-0.024316652796047784
41,01,v1,45,207,0.006758790449382302
42,01,v1,45,45,0.024902928483578172
43,01,v1,45,99,0.006152015817007161
44,01,v1,99,153,0.03806321195874428
45,01,v1,99,207,-0.03199895933574435
46,01,v1,99,45,-0.03613972806435441
47,01,v1,99,99,0.02075531364733571
48,01,sup_parietal,153,153,-0.015085868744116104
49,01,sup_parietal,153,207,0.033672444520024644
50,01,sup_parietal,153,45,-0.004599055535600919
51,01,sup_parietal,153,99,-0.006298727010092611
52,01,sup_parietal,207,153,0.03234674224395072
53,01,sup_parietal,207,207,-0.02775164569414045
54,01,sup_parietal,207,45,0.06462308467058145
55,01,sup_parietal,207,99,-0.09674204444299231
56,01,sup_parietal,45,153,0.00861578001105202
57,01,sup_parietal,45,207,0.031880842295424386
58,01,sup_parietal,45,45,-0.040200510177696144
59,01,sup_parietal,45,99,0.0032050863857826274
60,01,sup_parietal,99,153,0.006879938636205882
61,01,sup_parietal,99,207,-0.0691714709316637
62,01,sup_parietal,99,45,-0.031575809480833536
63,01,sup_parietal,99,99,0.12087967991877706
64,01,inf_parietal,153,153,-0.01870470469218808
65,01,inf_parietal,153,207,0.010004707337459194
66,01,inf_parietal,153,45,-0.0607697903798851
67,01,inf_parietal,153,99,0.08955351803578457
68,01,inf_parietal,207,153,0.014844608708681494
69,01,inf_parietal,207,207,0.005856054770292357
70,01,inf_parietal,207,45,0.02098447959689201
71,01,inf_parietal,207,99,-0.054332021280807205
72,01,inf_parietal,45,153,0.013330786065418482
73,01,inf_parietal,45,207,-0.020812921518352234
74,01,inf_parietal,45,45,0.012289218655858273
75,01,inf_parietal,45,99,-0.03328834874753814
76,01,inf_parietal,99,153,0.012822851180153498
77,01,inf_parietal,99,207,0.011009558367858083
78,01,inf_parietal,99,45,0.01071272067526717
79,01,inf_parietal,99,99,-0.01985277614928963
80,01,v5,153,153,0.07748561863996102
81,01,v5,153,207,-0.05575149432517877
82,01,v5,153,45,0.04090883128948654
83,01,v5,153,99,-0.014672321049423086
84,01,v5,207,153,0.07479942220972091
85,01,v5,207,207,0.00041891063005643214
86,01,v5,207,45,-0.033761485834855456
87,01,v5,207,99,0.060547119522258316
88,01,v5,45,153,-0.14045667829148256
89,01,v5,45,207,0.027281131380628272
90,01,v5,45,45,0.03946588481446282
91,01,v5,45,99,0.016486030182682743
92,01,v5,99,153,0.1180177958415066
93,01,v5,99,207,-0.08093587581887206
94,01,v5,99,45,-0.028020310436892792
95,01,v5,99,99,-0.07170996384294681
96,02,premotor,153,153,-0.009764910528467305
97,02,premotor,153,207,-0.037251550490701446
98,02,premotor,153,45,0.02082623559073559
99,02,premotor,153,99,0.03249857188216765
100,02,premotor,207,153,0.05933811915751887
101,02,premotor,207,207,-0.02952061446859078
102,02,premotor,207,45,-0.09473348626678521
103,02,premotor,207,99,0.05635511323606837
104,02,premotor,45,153,-0.028024475849341524
105,02,premotor,45,207,-0.005040656561624215
106,02,premotor,45,45,0.07401287285262312
107,02,premotor,45,99,-0.04139835347228455
108,02,premotor,99,153,-0.022821771389385192
109,02,premotor,99,207,0.05992765801608386
110,02,premotor,99,45,0.021642056744685584
111,02,premotor,99,99,-0.050596251564123874
112,02,motor,153,153,-0.012666501115590315
113,02,motor,153,207,-0.017146461212406677
114,02,motor,153,45,-0.01694660052130704
115,02,motor,153,99,0.05410647987053767
116,02,motor,207,153,0.07213828468132322
