,Participants,Masks,Target Location Straight,Trial Stage,Target Location Rotate,Correlation
118,01,v1,207,2,45,-0.011192517638574677
119,01,v1,207,2,99,0.018712759824777526
120,01,v1,45,0,153,0.008200411245441816
121,01,v1,45,0,207,0.07456844071663245
122,01,v1,45,0,45,0.04654795150967535
123,01,v1,45,0,99,0.0031348320778533615
124,01,v1,45,1,153,-0.040101248907686474
125,01,v1,45,1,207,-0.018155854036095386
126,01,v1,45,1,45,-0.04189344289271836
127,01,v1,45,1,99,-0.09497221247439247
128,01,v1,45,2,153,-0.09146492580904342
129,01,v1,45,2,207,-0.061632042782181345
130,01,v1,45,2,45,-0.10854792425009459
131,01,v1,45,2,99,-0.03695930442108866
132,01,v1,99,0,153,-0.01666316993837334
133,01,v1,99,0,207,-0.0113627240697163
134,01,v1,99,0,45,0.013014162146122856
135,01,v1,99,0,99,-0.030529410357256835
136,01,v1,99,1,153,-0.04395078110879469
137,01,v1,99,1,207,0.041873718926682166
138,01,v1,99,1,45,0.009007656911624685
139,01,v1,99,1,99,-0.0012847142573647278
140,01,v1,99,2,153,-0.036853668396628195
141,01,v1,99,2,207,-0.018955228949620387
142,01,v1,99,2,45,0.008783174106658092
143,01,v1,99,2,99,0.05480411405356837
144,01,sup_parietal,153,0,153,-0.026845980084498164
145,01,sup_parietal,153,0,207,-0.06307587776685815
146,01,sup_parietal,153,0,45,-0.00038673588438441556
147,01,sup_parietal,153,0,99,-0.07332895199208113
148,01,sup_parietal,153,1,153,0.02276853375766444
149,01,sup_parietal,153,1,207,-0.0018084001531827572
150,01,sup_parietal,153,1,45,-0.004215930342907681
151,01,sup_parietal,153,1,99,-0.026271095132826074
152,01,sup_parietal,153,2,153,0.02781356872425164
153,01,sup_parietal,153,2,207,0.05388749155284803
154,01,sup_parietal,153,2,45,-0.018914367077495928
155,01,sup_parietal,153,2,99,0.00041908495599528306
156,01,sup_parietal,207,0,153,-0.00261804127003293
157,01,sup_parietal,207,0,207,-0.011921081104812336
158,01,sup_parietal,207,0,45,-0.04269121142730905
159,01,sup_parietal,207,0,99,-0.039388520270005514
160,01,sup_parietal,207,1,153,0.010363342375700482
161,01,sup_parietal,207,1,207,-0.040941012418941825
162,01,sup_parietal,207,1,45,-0.0755840268625377
163,01,sup_parietal,207,1,99,-0.009183977797637672
164,01,sup_parietal,207,2,153,0.08573317608406959
165,01,sup_parietal,207,2,207,0.03163198418923005
166,01,sup_parietal,207,2,45,-0.0025936722369550064
167,01,sup_parietal,207,2,99,-0.01956055105752587
168,01,sup_parietal,45,0,153,-0.08314025167482274
169,01,sup_parietal,45,0,207,0.03614697611584762
170,01,sup_parietal,45,0,45,-0.08498774339961826
171,01,sup_parietal,45,0,99,-0.042813016116845834
172,01,sup_parietal,45,1,153,0.002809868975507876
173,01,sup_parietal,45,1,207,-0.0005189034395785518
174,01,sup_parietal,45,1,45,0.005647074378575715
175,01,sup_parietal,45,1,99,-0.008954603715915155
176,01,sup_parietal,45,2,153,-0.10081536036269918
177,01,sup_parietal,45,2,207,-0.004112644318591539
178,01,sup_parietal,45,2,45,-0.08497925998191119
179,01,sup_parietal,45,2,99,-0.03403147393332384
180,01,sup_parietal,99,0,153,-0.018591973019270958
181,01,sup_parietal,99,0,207,-0.05711095173493558
182,01,sup_parietal,99,0,45,-0.03637870071961165
183,01,sup_parietal,99,0,99,-0.017442445683049437
184,01,sup_parietal,99,1,153,-0.08828013108524664
185,01,sup_parietal,99,1,207,0.006623057334542815
186,01,sup_parietal,99,1,45,-0.051590407928785026
187,01,sup_parietal,99,1,99,-0.08341644541554138
188,01,sup_parietal,99,2,153,-0.008233504868897427
189,01,sup_parietal,99,2,207,-0.08028113083799977
190,01,sup_parietal,99,2,45,0.019476057915469858
191,01,sup_parietal,99,2,99,-0.010671756440427733
192,01,inf_parietal,153,0,153,-0.07916081371579933
193,01,inf_parietal,153,0,207,-0.07741599367748347
194,01,inf_parietal,153,0,45,-0.04168511595686928
195,01,inf_parietal,153,0,99,-0.10755950263633048
196,01,inf_parietal,153,1,153,0.0036220901889897454
197,01,inf_parietal,153,1,207,0.019880842600404163
198,01,inf_parietal,153,1,45,0.009594258217334206
199,01,inf_parietal,153,1,99,0.01233252910414865
200,01,inf_parietal,153,2,153,-0.052364882086346536
201,01,inf_parietal,153,2,207,-0.029274440467460607
202,01,inf_parietal,153,2,45,-0.020410649351275057
203,01,inf_parietal,153,2,99,-0.004509343265691959
204,01,inf_parietal,207,0,153,0.08785233735628814
205,01,inf_parietal,207,0,207,0.05562732920606933
206,01,inf_parietal,207,0,45,0.08803247272744585
207,01,inf_parietal,207,0,99,0.06009242566378297
208,01,inf_parietal,207,1,153,0.015227149930100922
209,01,inf_parietal,207,1,207,0.010400515058916633
210,01,inf_parietal,207,1,45,0.030113896384909303
211,01,inf_parietal,207,1,99,0.011663063406764642
212,01,inf_parietal,207,2,153,0.05377270523763286
213,01,inf_parietal,207,2,207,-0.020423199637802224
214,01,inf_parietal,207,2,45,-0.08047494812885914
215,01,inf_parietal,207,2,99,-0.03692298139926432
216,01,inf_parietal,45,0,153,0.010919358074283932
217,01,inf_parietal,45,0,207,0.03714260948325483
218,01,inf_parietal,45,0,45,0.10068632521303461
219,01,inf_parietal,45,0,99,0.08167847023298712
220,01,inf_parietal,45,1,153,-0.004689478112777959
221,01,inf_parietal,45,1,207,0.04847113832735617
222,01,inf_parietal,45,1,45,0.045899946328514976
223,01,inf_parietal,45,1,99,0.013413266243096161
224,01,inf_parietal,45,2,153,-0.03398946425574488
225,01,inf_parietal,45,2,207,0.006903836891795325
226,01,inf_parietal,45,2,45,-0.008115393903611635
227,01,inf_parietal,45,2,99,-0.035665659011909705
228,01,inf_parietal,99,0,153,0.013512411850880438
229,01,inf_parietal,99,0,207,-0.01877171104490303
230,01,inf_parietal,99,0,45,-0.046426316825843625
231,01,inf_parietal,99,0,99,-0.004292775602388061
232,01,inf_parietal,99,1,153,-0.015730689872012076
233,01,inf_parietal,99,1,207,-0.05479975230336982
