,Participants,Masks,Target Location Straight,Target Location Rotate,Layers,Kl Div
48,01,premotor,99,153,0,489.5737110079398
49,01,premotor,99,153,1,16.022806333385617
50,01,premotor,99,153,2,5.551055064704373
51,01,premotor,99,153,3,
52,01,premotor,99,207,0,531.242968133159
53,01,premotor,99,207,1,16.786416043050135
54,01,premotor,99,207,2,6.400130188560535
55,01,premotor,99,207,3,0.14037058657758394
56,01,premotor,99,45,0,505.0355566845182
57,01,premotor,99,45,1,18.187094843392146
58,01,premotor,99,45,2,3.003475026571273
59,01,premotor,99,45,3,0.012031816050440292
60,01,premotor,99,99,0,494.19412913224244
61,01,premotor,99,99,1,17.553311078061835
62,01,premotor,99,99,2,7.503914429023873
63,01,premotor,99,99,3,0.0008960150122486188
64,01,motor,153,153,0,208.40260830534316
65,01,motor,153,153,1,16.883454480529487
66,01,motor,153,153,2,6.803768556737524
67,01,motor,153,153,3,0.7599067940210111
68,01,motor,153,207,0,214.02475087523152
69,01,motor,153,207,1,18.80875949721583
70,01,motor,153,207,2,6.263574567904422
71,01,motor,153,207,3,0.8785369907486955
72,01,motor,153,45,0,204.95902812135063
73,01,motor,153,45,1,17.433581525351713
74,01,motor,153,45,2,3.9439600273270754
75,01,motor,153,45,3,0.5959531495268504
76,01,motor,153,99,0,210.9842476378963
77,01,motor,153,99,1,18.36884149815673
78,01,motor,153,99,2,6.616028743812243
79,01,motor,153,99,3,2.064167576944346
80,01,motor,207,153,0,211.5395917839231
81,01,motor,207,153,1,17.746099666274667
