,Participants,Masks,Straight Train Accuracy,Rotated Train Accuracy,Straight Test Accuracy,Rotated Test Accuracy
97,18,motor,0.71875,0.84375,0.8,0.9
98,18,v1,0.9875,0.93125,0.975,1.0
99,18,sup_parietal,0.7750000000000001,0.73125,0.7,0.825
100,18,inf_parietal,0.7375,0.76875,0.775,0.875
101,18,v5,0.6625,0.68125,0.65,0.625
102,19,premotor,0.7375,0.825,0.85,0.975
103,19,motor,0.7437499999999999,0.775,0.775,0.85
104,19,v1,0.9,0.85,0.925,0.925
105,19,sup_parietal,0.70625,0.7250000000000001,0.625,0.675
106,19,inf_parietal,0.7124999999999999,0.73125,0.7,0.825
107,19,v5,0.54375,0.66875,0.525,0.6
108,20,premotor,0.81875,0.9187500000000001,0.95,0.975
109,20,motor,0.7625,0.7937500000000001,0.725,0.825
110,20,v1,0.96875,0.91875,0.95,0.925
111,20,sup_parietal,0.65,0.75,0.725,0.75
112,20,inf_parietal,0.83125,0.7999999999999999,0.75,0.925
113,20,v5,0.5875,0.575,0.55,0.6
114,22,premotor,0.85625,0.875,1.0,0.925
115,22,motor,0.7375,0.86875,0.775,0.8
116,22,v1,0.96875,0.99375,1.0,1.0
117,22,sup_parietal,0.7250000000000001,0.7812499999999999,0.875,0.85
118,22,inf_parietal,0.7375,0.79375,0.875,0.825
119,22,v5,0.65,0.75625,0.7,0.8
120,23,premotor,0.8500000000000001,0.8062499999999999,0.8,0.9
121,23,motor,0.7249999999999999,0.6625,0.775,0.85
122,23,v1,0.96875,0.9,1.0,1.0
123,23,sup_parietal,0.66875,0.6625,0.675,0.575
124,23,inf_parietal,0.7125,0.6937500000000001,0.775,0.775
125,23,v5,0.63125,0.58125,0.725,0.575
126,24,premotor,0.8125,0.8312499999999999,0.875,0.925
127,24,motor,0.75,0.8,0.75,0.775
128,24,v1,0.8812500000000001,0.8937499999999999,0.85,0.95
129,24,sup_parietal,0.7000000000000001,0.68125,0.65,0.775
130,24,inf_parietal,0.76875,0.73125,0.775,0.9
131,24,v5,0.65625,0.625,0.85,0.575
132,25,premotor,0.75625,0.7625,0.925,0.825
133,25,motor,0.65625,0.625,0.8,0.75
134,25,v1,0.89375,0.8500000000000001,0.9,0.95
135,25,sup_parietal,0.525,0.59375,0.825,0.625
136,25,inf_parietal,0.65625,0.66875,0.525,0.65
137,25,v5,0.56875,0.65625,0.55,0.525
138,26,premotor,0.8687499999999999,0.9625,0.925,0.925
139,26,motor,0.78125,0.8375,0.75,0.925
140,26,v1,0.98125,0.96875,1.0,1.0
141,26,sup_parietal,0.6125,0.75,0.825,0.825
142,26,inf_parietal,0.84375,0.6937500000000001,0.75,0.775
143,26,v5,0.6812499999999999,0.6625000000000001,0.6,0.675
