,Participants,Masks,Straight Direction,Straight Direction_,Correlation
148,02,sup_parietal,207,153,0.3180279383765235
149,02,sup_parietal,207,207,-0.820156215717555
150,02,sup_parietal,207,45,0.26381613063978504
151,02,sup_parietal,207,99,0.32600774935310894
152,02,sup_parietal,45,153,0.24294340028772982
153,02,sup_parietal,45,207,0.20589865879708122
154,02,sup_parietal,45,45,-0.8043882746413296
155,02,sup_parietal,45,99,0.23842482971154627
156,02,sup_parietal,99,153,0.21218004437663163
157,02,sup_parietal,99,207,0.3416401609066103
158,02,sup_parietal,99,45,0.237082014822121
159,02,sup_parietal,99,99,-0.8354954900659781
160,02,inf_parietal,153,153,-0.8413581387511458
161,02,inf_parietal,153,207,0.32792409048690735
162,02,inf_parietal,153,45,0.22382374775033032
163,02,inf_parietal,153,99,0.23886082348606125
164,02,inf_parietal,207,153,0.3579573511144966
165,02,inf_parietal,207,207,-0.874743557814285
166,02,inf_parietal,207,45,0.28603637544430127
167,02,inf_parietal,207,99,0.27954462134799174
168,02,inf_parietal,45,153,0.24844367410330914
169,02,inf_parietal,45,207,0.3073366209939503
170,02,inf_parietal,45,45,-0.8722194712708466
171,02,inf_parietal,45,99,0.28930539685945633
172,02,inf_parietal,99,153,0.19608083572905372
173,02,inf_parietal,99,207,0.28613678520042196
174,02,inf_parietal,99,45,0.3271579553466312
175,02,inf_parietal,99,99,-0.854545596487055
176,02,v5,153,153,-0.7938555654492461
177,02,v5,153,207,0.2849646033482787
178,02,v5,153,45,0.1721668115299797
179,02,v5,153,99,0.2562366758086868
180,02,v5,207,153,0.29058922222940314
181,02,v5,207,207,-0.7513955586957368
182,02,v5,207,45,0.28557645241498314
183,02,v5,207,99,0.23731633969640653
184,02,v5,45,153,0.18774774977235942
185,02,v5,45,207,0.23290406937925082
186,02,v5,45,45,-0.7710675969878533
187,02,v5,45,99,0.26656385863266496
188,02,v5,99,153,0.24809095589798832
189,02,v5,99,207,0.20796454139349535
190,02,v5,99,45,0.2976014033033556
191,02,v5,99,99,-0.7688456620443699
192,03,premotor,153,153,-0.8682648370679877
193,03,premotor,153,207,0.27991508239926355
194,03,premotor,153,45,0.2715052810700641
195,03,premotor,153,99,0.32116636882213356
196,03,premotor,207,153,0.28893837619615337
197,03,premotor,207,207,-0.8819498949070892
198,03,premotor,207,45,0.3270644965664183
199,03,premotor,207,99,0.2525027537384944
200,03,premotor,45,153,0.27698333731842695
201,03,premotor,45,207,0.3374001962226961
202,03,premotor,45,45,-0.8658840150346554
203,03,premotor,45,99,0.27601264093656896
204,03,premotor,99,153,0.3321122053795663
205,03,premotor,99,207,0.2499869253478657
206,03,premotor,99,45,0.2438617004545146
207,03,premotor,99,99,-0.8786567717186256
208,03,motor,153,153,-0.8561571760934297
209,03,motor,153,207,0.2863842542518267
210,03,motor,153,45,0.25375734044050174
211,03,motor,153,99,0.2961267483570467
212,03,motor,207,153,0.26013941366592036
213,03,motor,207,207,-0.8694046106830442
214,03,motor,207,45,0.3402201229126503
215,03,motor,207,99,0.27450009726468727
216,03,motor,45,153,0.2655259756605635
217,03,motor,45,207,0.3416294156988039
218,03,motor,45,45,-0.8512917925805095
219,03,motor,45,99,0.25603858621561537
220,03,motor,99,153,0.2933622621085278
221,03,motor,99,207,0.26727580521585537
222,03,motor,99,45,0.25792465576308193
223,03,motor,99,99,-0.8692805628662241
224,03,v1,153,153,-0.7890617152781292
225,03,v1,153,207,0.30081393595021055
226,03,v1,153,45,0.20508391438939536
227,03,v1,153,99,0.24194449505327748
228,03,v1,207,153,0.28426038058424585
229,03,v1,207,207,-0.7348431059509917
230,03,v1,207,45,0.25336062074953025
231,03,v1,207,99,0.20174980867044826
232,03,v1,45,153,0.2079502946918988
233,03,v1,45,207,0.27234849385079785
234,03,v1,45,45,-0.7697258751011106
235,03,v1,45,99,0.31482731125587027
236,03,v1,99,153,0.2721925296454685
237,03,v1,99,207,0.1704954244364961
238,03,v1,99,45,0.29865086577471567
239,03,v1,99,99,-0.7749825252026423
240,03,sup_parietal,153,153,-0.8026648932271845
241,03,sup_parietal,153,207,0.2682824772378766
242,03,sup_parietal,153,45,0.22466118593888085
243,03,sup_parietal,153,99,0.2911599312269998
244,03,sup_parietal,207,153,0.2767918735584543
245,03,sup_parietal,207,207,-0.8147984580809264
246,03,sup_parietal,207,45,0.2889517015831886
247,03,sup_parietal,207,99,0.20481307496687962
248,03,sup_parietal,45,153,0.1372036047149951
249,03,sup_parietal,45,207,0.2973519238074493
250,03,sup_parietal,45,45,-0.8025703291634105
251,03,sup_parietal,45,99,0.32092791759796674
252,03,sup_parietal,99,153,0.3631963864791538
253,03,sup_parietal,99,207,0.17384622385725562
254,03,sup_parietal,99,45,0.2500353420531257
255,03,sup_parietal,99,99,-0.8252911573863284
256,03,inf_parietal,153,153,-0.8590778283164562
257,03,inf_parietal,153,207,0.25161589244517174
258,03,inf_parietal,153,45,0.29561020476513844
259,03,inf_parietal,153,99,0.29109681460622083
260,03,inf_parietal,207,153,0.24520920191614357
261,03,inf_parietal,207,207,-0.8510411791841297
262,03,inf_parietal,207,45,0.29525505376785555
263,03,inf_parietal,207,99,0.27715679245427255
264,03,inf_parietal,45,153,0.2614014734104335
265,03,inf_parietal,45,207,0.35167554897654163
266,03,inf_parietal,45,45,-0.8475298559494291
267,03,inf_parietal,45,99,0.2553582945366327
268,03,inf_parietal,99,153,0.32996609833404167
269,03,inf_parietal,99,207,0.2517737823359787
270,03,inf_parietal,99,45,0.22837756870287854
271,03,inf_parietal,99,99,-0.854925852788871
272,03,v5,153,153,-0.8035019973237536
273,03,v5,153,207,0.26758176686411855
274,03,v5,153,45,0.23092160882029222
275,03,v5,153,99,0.31922139811477207
276,03,v5,207,153,0.3107616941541894
277,03,v5,207,207,-0.8038510052422319
278,03,v5,207,45,0.250771953379331
279,03,v5,207,99,0.252029852215237
280,03,v5,45,153,0.22665565149139338
281,03,v5,45,207,0.21899258099881044
282,03,v5,45,45,-0.806536964896688
283,03,v5,45,99,0.2737878161012308
284,03,v5,99,153,0.28775596712995766
285,03,v5,99,207,0.23871095764107697
286,03,v5,99,45,0.27413933851707084
287,03,v5,99,99,-0.8053117312285528
288,04,premotor,153,153,-0.8947292539248302
289,04,premotor,153,207,0.32354747281908813
290,04,premotor,153,45,0.2832634508549401
291,04,premotor,153,99,0.3023517330632766
292,04,premotor,207,153,0.2783189360159255
293,04,premotor,207,207,-0.8808768482484113
294,04,premotor,207,45,0.30119116148352687
295,04,premotor,207,99,0.3056470948820238
296,04,premotor,45,153,0.3057950810235366
297,04,premotor,45,207,0.3035571244279582
298,04,premotor,45,45,-0.8681266089815597
299,04,premotor,45,99,0.26198262779342785
300,04,premotor,99,153,0.3164861052424198
301,04,premotor,99,207,0.2600202284868542
302,04,premotor,99,45,0.24156951421827622
303,04,premotor,99,99,-0.870704400363931
304,04,motor,153,153,-0.8658406418289628
305,04,motor,153,207,0.262200351390551
306,04,motor,153,45,0.2652540206322726
307,04,motor,153,99,0.32538918495169805
308,04,motor,207,153,0.2759060895537485
309,04,motor,207,207,-0.8737156591927606
310,04,motor,207,45,0.3062362989256229
311,04,motor,207,99,0.2727259814863152
312,04,motor,45,153,0.27728932898522746
313,04,motor,45,207,0.30145410365430614
314,04,motor,45,45,-0.8645480966982794
315,04,motor,45,99,0.26494440413675213
316,04,motor,99,153,0.31104392326270947
317,04,motor,99,207,0.26246869126051964
318,04,motor,99,45,0.26673817459220805
319,04,motor,99,99,-0.8656066630350129
320,04,v1,153,153,-0.8314880032705553
321,04,v1,153,207,0.31724824359057935
322,04,v1,153,45,0.2547339017010418
323,04,v1,153,99,0.30136808311588303
324,04,v1,207,153,0.3420486396580248
325,04,v1,207,207,-0.8072613000237973
326,04,v1,207,45,0.2630305199614984
327,04,v1,207,99,0.1960349947095474
328,04,v1,45,153,0.282174266243325
329,04,v1,45,207,0.25662587107510465
330,04,v1,45,45,-0.8274594732010724
331,04,v1,45,99,0.21975900917808172
332,04,v1,99,153,0.2894633858005953
333,04,v1,99,207,0.21270217134192795
334,04,v1,99,45,0.23068906986554683
335,04,v1,99,99,-0.7750765132099515
336,04,sup_parietal,153,153,-0.801285989344684
337,04,sup_parietal,153,207,0.27117810685097216
338,04,sup_parietal,153,45,0.21268393610735142
339,04,sup_parietal,153,99,0.31373385282908095
340,04,sup_parietal,207,153,0.33045565041833713
341,04,sup_parietal,207,207,-0.8044357597311926
342,04,sup_parietal,207,45,0.26402918869916203
343,04,sup_parietal,207,99,0.198905979744194
344,04,sup_parietal,45,153,0.20668802889535676
345,04,sup_parietal,45,207,0.2829913324011691
346,04,sup_parietal,45,45,-0.8273324541175973
347,04,sup_parietal,45,99,0.2713503603284039
348,04,sup_parietal,99,153,0.23397393811128492
349,04,sup_parietal,99,207,0.24335724983621448
350,04,sup_parietal,99,45,0.28100549421680787
351,04,sup_parietal,99,99,-0.8026142625333248
352,04,inf_parietal,153,153,-0.8661622689677226
353,04,inf_parietal,153,207,0.31095176697235727
354,04,inf_parietal,153,45,0.2727984370790625
355,04,inf_parietal,153,99,0.29180424477637257
356,04,inf_parietal,207,153,0.24149756970957978
357,04,inf_parietal,207,207,-0.8539771255473667
358,04,inf_parietal,207,45,0.3043273852691669
359,04,inf_parietal,207,99,0.28405011310875056
360,04,inf_parietal,45,153,0.3334951977136423
361,04,inf_parietal,45,207,0.2778382504250777
362,04,inf_parietal,45,45,-0.8502219897539167
363,04,inf_parietal,45,99,0.21514003901455134
364,04,inf_parietal,99,153,0.3188179849968976
365,04,inf_parietal,99,207,0.2766400586154798
366,04,inf_parietal,99,45,0.1983362754732943
367,04,inf_parietal,99,99,-0.8577841440038165
368,04,v5,153,153,-0.7629111718400585
369,04,v5,153,207,0.2530155500902883
370,04,v5,153,45,0.16196775895761384
371,04,v5,153,99,0.26517401852786876
372,04,v5,207,153,0.16297962077546316
373,04,v5,207,207,-0.8251434340896677
374,04,v5,207,45,0.2983160645870421
375,04,v5,207,99,0.34007079365558923
376,04,v5,45,153,0.24898922038174232
377,04,v5,45,207,0.31920769702106233
378,04,v5,45,45,-0.7209179995501989
379,04,v5,45,99,0.20320929108903973
380,04,v5,99,153,0.3583783258023291
381,04,v5,99,207,0.2730601235499677
382,04,v5,99,45,0.22043332697096768
383,04,v5,99,99,-0.8406390724922502
384,05,premotor,153,153,-0.7154014267366949
385,05,premotor,153,207,0.25717121329159975
