,Participants,Masks,Target Location Straight,Target Location Rotate,RDM Correlations
216,03,motor,45,153,0.008061351978502433
217,03,motor,45,207,0.046738617452759035
218,03,motor,45,45,0.008570524235101091
219,03,motor,45,99,0.0771259064117065
220,03,motor,99,153,0.006717205235874791
221,03,motor,99,207,-0.013727703398897001
222,03,motor,99,45,0.011295453657500003
223,03,motor,99,99,0.015889349938676675
224,03,v1,153,153,0.09506993903766398
225,03,v1,153,207,0.05217575067327494
226,03,v1,153,45,0.10033531009300987
227,03,v1,153,99,0.1142614884599293
228,03,v1,207,153,0.03593910061764056
229,03,v1,207,207,0.09483983462311844
230,03,v1,207,45,0.05567375637414984
231,03,v1,207,99,0.03686449802562333
232,03,v1,45,153,0.0938960503010099
233,03,v1,45,207,0.11287448775823666
234,03,v1,45,45,0.17812847544775606
235,03,v1,45,99,0.0752152169158627
236,03,v1,99,153,0.10327940534115237
237,03,v1,99,207,0.05461309493298949
238,03,v1,99,45,0.13103556639128008
239,03,v1,99,99,0.15785323171101717
240,03,sup_parietal,153,153,0.12792203733862695
241,03,sup_parietal,153,207,0.15528886939657469
242,03,sup_parietal,153,45,0.1329232665925663
243,03,sup_parietal,153,99,0.14978187775181512
244,03,sup_parietal,207,153,0.12825694660422784
245,03,sup_parietal,207,207,0.1258088316303953
246,03,sup_parietal,207,45,0.16873929968835596
247,03,sup_parietal,207,99,0.1340819068473178
248,03,sup_parietal,45,153,0.14300201514806807
249,03,sup_parietal,45,207,0.1583495039085413
250,03,sup_parietal,45,45,0.12719570074187916
251,03,sup_parietal,45,99,0.12762667661908225
252,03,sup_parietal,99,153,0.11339320887051636
253,03,sup_parietal,99,207,0.14997678331460895
254,03,sup_parietal,99,45,0.12828575219356822
255,03,sup_parietal,99,99,0.1488364884981116
256,03,inf_parietal,153,153,0.025093358983717354
257,03,inf_parietal,153,207,0.028454398660612716
258,03,inf_parietal,153,45,0.039379812736004875
259,03,inf_parietal,153,99,0.005061411562217797
260,03,inf_parietal,207,153,-0.00031374558127094873
261,03,inf_parietal,207,207,0.01442690687883648
262,03,inf_parietal,207,45,0.013185555321122167
263,03,inf_parietal,207,99,-0.005176433239474598
264,03,inf_parietal,45,153,0.004828453124294812
265,03,inf_parietal,45,207,0.01871113395873902
