,Participants,Masks,Target Location Straight,Correlation
156,07,sup_parietal,153,-0.7731507898996457
157,07,sup_parietal,207,-0.7441328587808507
158,07,sup_parietal,45,-0.804271804319059
159,07,sup_parietal,99,-0.769718613837927
160,07,inf_parietal,153,-0.8153140861524972
161,07,inf_parietal,207,-0.8013941550188685
162,07,inf_parietal,45,-0.8397868170348849
163,07,inf_parietal,99,-0.811719737843196
164,07,v5,153,-0.7868462840909108
165,07,v5,207,-0.7626831632830244
166,07,v5,45,-0.6920305014235519
167,07,v5,99,-0.8083230439741769
168,08,premotor,153,-0.8559562820168848
169,08,premotor,207,-0.8460191197179676
170,08,premotor,45,-0.8781636714689481
171,08,premotor,99,-0.8303702419409579
172,08,motor,153,-0.8529813848547282
173,08,motor,207,-0.8503432792249523
174,08,motor,45,-0.8417638486059046
175,08,motor,99,-0.8044513482972494
176,08,v1,153,-0.8064192061193638
177,08,v1,207,-0.8374156295113578
178,08,v1,45,-0.8112914503816416
179,08,v1,99,-0.8426067919721549
180,08,sup_parietal,153,-0.8134940220098053
181,08,sup_parietal,207,-0.7866019215056614
182,08,sup_parietal,45,-0.828977835411365
183,08,sup_parietal,99,-0.8220728889023314
184,08,inf_parietal,153,-0.8296463093466548
185,08,inf_parietal,207,-0.8363976508976579
186,08,inf_parietal,45,-0.8542264145802141
187,08,inf_parietal,99,-0.8245578142519226
188,08,v5,153,-0.7739164928383475
189,08,v5,207,-0.7918941476155206
190,08,v5,45,-0.7705900512246046
191,08,v5,99,-0.779388399038234
192,09,premotor,153,-0.8825683171746097
193,09,premotor,207,-0.8804479928564012
194,09,premotor,45,-0.8758792371887778
195,09,premotor,99,-0.8806229320102154
196,09,motor,153,-0.8699343499115213
197,09,motor,207,-0.8601465170068776
198,09,motor,45,-0.8443156806191264
199,09,motor,99,-0.8721201790703974
200,09,v1,153,-0.8571112852639395
201,09,v1,207,-0.8495983210611595
202,09,v1,45,-0.822965459639839
203,09,v1,99,-0.8666272184779711
204,09,sup_parietal,153,-0.8210123338527506
205,09,sup_parietal,207,-0.8303235417458188
206,09,sup_parietal,45,-0.8176156937566625
207,09,sup_parietal,99,-0.8550093042141393
208,09,inf_parietal,153,-0.8502056442508962
209,09,inf_parietal,207,-0.8415608564739838
210,09,inf_parietal,45,-0.8497648557630264
211,09,inf_parietal,99,-0.8700366139391003
212,09,v5,153,-0.8398212922574013
213,09,v5,207,-0.8308744268442801
214,09,v5,45,-0.8363845461728139
215,09,v5,99,-0.8272209440822617
216,11,premotor,153,-0.8553580506131296
217,11,premotor,207,-0.8540426749742581
218,11,premotor,45,-0.8484180255961417
219,11,premotor,99,-0.8623239256069639
220,11,motor,153,-0.856524653221515
221,11,motor,207,-0.8540124222952652
222,11,motor,45,-0.8413854432291716
223,11,motor,99,-0.847183431733894
224,11,v1,153,-0.7631492827803708
225,11,v1,207,-0.7513440800890506
226,11,v1,45,-0.761791398349096
227,11,v1,99,-0.7638999341940365
228,11,sup_parietal,153,-0.8513917476751599
229,11,sup_parietal,207,-0.7937224233259741
230,11,sup_parietal,45,-0.794589652689128
231,11,sup_parietal,99,-0.8260018397616566
232,11,inf_parietal,153,-0.8451835913215289
233,11,inf_parietal,207,-0.8247215836695444
234,11,inf_parietal,45,-0.811914360977081
235,11,inf_parietal,99,-0.8386011546035934
236,11,v5,153,-0.7679989000149888
237,11,v5,207,-0.6460257448295806
238,11,v5,45,-0.829237801078468
239,11,v5,99,-0.7940109319363148
240,12,premotor,153,-0.874868845489331
241,12,premotor,207,-0.8651546663971932
242,12,premotor,45,-0.8760584735473833
243,12,premotor,99,-0.8805548259761297
244,12,motor,153,-0.8690751843420559
