,Participants,Masks,Target Location Straight,Correlation
201,09,v1,207,1.0
202,09,v1,45,1.0
203,09,v1,99,0.9999999999999999
204,09,sup_parietal,153,1.0
205,09,sup_parietal,207,1.0
206,09,sup_parietal,45,0.9999999999999998
207,09,sup_parietal,99,1.0
208,09,inf_parietal,153,0.9999999999999999
209,09,inf_parietal,207,1.0
210,09,inf_parietal,45,0.9999999999999998
211,09,inf_parietal,99,1.0
212,09,v5,153,0.9999999999999999
213,09,v5,207,1.0
214,09,v5,45,1.0
215,09,v5,99,1.0
216,11,premotor,153,1.0
217,11,premotor,207,1.0
218,11,premotor,45,1.0
219,11,premotor,99,1.0
220,11,motor,153,0.9999999999999998
221,11,motor,207,0.9999999999999999
222,11,motor,45,1.0
223,11,motor,99,0.9999999999999999
224,11,v1,153,1.0
225,11,v1,207,0.9999999999999999
226,11,v1,45,0.9999999999999999
227,11,v1,99,0.9999999999999999
228,11,sup_parietal,153,0.9999999999999998
229,11,sup_parietal,207,0.9999999999999999
230,11,sup_parietal,45,1.0
231,11,sup_parietal,99,0.9999999999999999
232,11,inf_parietal,153,1.0
233,11,inf_parietal,207,1.0
234,11,inf_parietal,45,1.0
235,11,inf_parietal,99,1.0
236,11,v5,153,0.9999999999999999
237,11,v5,207,1.0
238,11,v5,45,1.0
239,11,v5,99,1.0
240,12,premotor,153,1.0
241,12,premotor,207,1.0
242,12,premotor,45,1.0
243,12,premotor,99,1.0
244,12,motor,153,1.0
245,12,motor,207,1.0
246,12,motor,45,1.0
247,12,motor,99,0.9999999999999999
248,12,v1,153,0.9999999999999998
249,12,v1,207,1.0
250,12,v1,45,1.0
251,12,v1,99,1.0
252,12,sup_parietal,153,1.0
253,12,sup_parietal,207,0.9999999999999998
254,12,sup_parietal,45,0.9999999999999999
255,12,sup_parietal,99,1.0
256,12,inf_parietal,153,1.0
257,12,inf_parietal,207,1.0
258,12,inf_parietal,45,1.0
259,12,inf_parietal,99,0.9999999999999999
260,12,v5,153,1.0
261,12,v5,207,1.0
262,12,v5,45,0.9999999999999998
263,12,v5,99,1.0
264,13,premotor,153,1.0
265,13,premotor,207,0.9999999999999999
266,13,premotor,45,1.0
267,13,premotor,99,0.9999999999999998
268,13,motor,153,1.0
269,13,motor,207,0.9999999999999998
270,13,motor,45,0.9999999999999999
271,13,motor,99,1.0
272,13,v1,153,1.0
273,13,v1,207,1.0
274,13,v1,45,1.0
275,13,v1,99,1.0
276,13,sup_parietal,153,1.0
277,13,sup_parietal,207,1.0
278,13,sup_parietal,45,1.0
279,13,sup_parietal,99,1.0
280,13,inf_parietal,153,1.0
281,13,inf_parietal,207,1.0
282,13,inf_parietal,45,1.0
283,13,inf_parietal,99,1.0
284,13,v5,153,0.9999999999999999
285,13,v5,207,0.9999999999999998
286,13,v5,45,1.0
287,13,v5,99,1.0
288,14,premotor,153,1.0
289,14,premotor,207,1.0
290,14,premotor,45,1.0
291,14,premotor,99,1.0
292,14,motor,153,1.0
293,14,motor,207,1.0
294,14,motor,45,0.9999999999999999
295,14,motor,99,1.0
296,14,v1,153,1.0
297,14,v1,207,0.9999999999999999
298,14,v1,45,1.0
299,14,v1,99,1.0
300,14,sup_parietal,153,1.0
301,14,sup_parietal,207,0.9999999999999999
302,14,sup_parietal,45,1.0
303,14,sup_parietal,99,1.0
304,14,inf_parietal,153,1.0
305,14,inf_parietal,207,1.0
306,14,inf_parietal,45,0.9999999999999999
307,14,inf_parietal,99,1.0
308,14,v5,153,1.0
309,14,v5,207,1.0
310,14,v5,45,1.0
311,14,v5,99,0.9999999999999998
312,15,premotor,153,1.0
313,15,premotor,207,1.0
314,15,premotor,45,1.0
315,15,premotor,99,1.0
316,15,motor,153,1.0
317,15,motor,207,1.0
318,15,motor,45,1.0
319,15,motor,99,0.9999999999999998
320,15,v1,153,0.9999999999999999
321,15,v1,207,1.0
322,15,v1,45,1.0
323,15,v1,99,1.0
324,15,sup_parietal,153,1.0
325,15,sup_parietal,207,0.9999999999999999
326,15,sup_parietal,45,0.9999999999999999
327,15,sup_parietal,99,0.9999999999999998
328,15,inf_parietal,153,1.0
329,15,inf_parietal,207,0.9999999999999999
330,15,inf_parietal,45,1.0
331,15,inf_parietal,99,1.0
332,15,v5,153,0.9999999999999998
333,15,v5,207,0.9999999999999998
334,15,v5,45,1.0
335,15,v5,99,1.0
336,16,premotor,153,0.9999999999999998
337,16,premotor,207,1.0
338,16,premotor,45,0.9999999999999998
339,16,premotor,99,1.0
340,16,motor,153,1.0
341,16,motor,207,1.0
342,16,motor,45,1.0
343,16,motor,99,0.9999999999999999
344,16,v1,153,0.9999999999999998
345,16,v1,207,0.9999999999999998
