,Participants,Masks,Rotate Direction,Straight Direction,Correlation
404,05,motor,207,153,0.02164011023567683
405,05,motor,207,207,-0.041783503023789983
406,05,motor,207,45,0.0013615214882548802
407,05,motor,207,99,0.008684648438871893
408,05,motor,45,153,0.024211649159658257
409,05,motor,45,207,0.02424923176313908
410,05,motor,45,45,-0.06918790074356151
411,05,motor,45,99,0.050777349691999596
412,05,motor,99,153,-0.0023495350510835834
413,05,motor,99,207,0.038751831083552284
414,05,motor,99,45,0.029772252271717183
415,05,motor,99,99,-0.058685515123369524
416,05,v1,153,153,-0.046744471781101624
417,05,v1,153,207,-0.018133914999041798
418,05,v1,153,45,-0.05053785710196781
419,05,v1,153,99,0.15910130383829335
420,05,v1,207,153,0.10599340786157062
421,05,v1,207,207,0.11885979019237729
422,05,v1,207,45,-0.1791719424553989
423,05,v1,207,99,-0.10025817705524266
424,05,v1,45,153,0.010825618200056245
425,05,v1,45,207,-0.1237455922345125
426,05,v1,45,45,0.18767878830001478
427,05,v1,45,99,-0.0740769707064868
428,05,v1,99,153,-0.06806781574271735
429,05,v1,99,207,0.05085771928643605
430,05,v1,99,45,0.059694984353366023
431,05,v1,99,99,-0.015255402456496217
432,05,sup_parietal,153,153,-0.06203797512737349
433,05,sup_parietal,153,207,0.006744043217872184
434,05,sup_parietal,153,45,0.02321781087117758
435,05,sup_parietal,153,99,0.020619378411065425
436,05,sup_parietal,207,153,0.0477292016948435
437,05,sup_parietal,207,207,0.03221863876573916
438,05,sup_parietal,207,45,-0.1126030010337417
439,05,sup_parietal,207,99,0.009820677232768499
440,05,sup_parietal,45,153,-0.017332319498465316
441,05,sup_parietal,45,207,0.03484007240613098
442,05,sup_parietal,45,45,0.010788867018498818
443,05,sup_parietal,45,99,-0.010527389184328785
444,05,sup_parietal,99,153,0.0006504990247490627
445,05,sup_parietal,99,207,-0.04030688917323546
446,05,sup_parietal,99,45,0.06779634633963469
447,05,sup_parietal,99,99,-0.02098863763126842
448,05,inf_parietal,153,153,-0.0010782559382255877
449,05,inf_parietal,153,207,-0.0040007115082156455
450,05,inf_parietal,153,45,-0.00694197022837607
451,05,inf_parietal,153,99,0.01789560999593371
452,05,inf_parietal,207,153,0.017043983101314237
453,05,inf_parietal,207,207,0.004273728498383414
454,05,inf_parietal,207,45,0.00984631113464995
455,05,inf_parietal,207,99,-0.04332760814017061
456,05,inf_parietal,45,153,-0.005506863738226977
457,05,inf_parietal,45,207,-0.013524168006028764
458,05,inf_parietal,45,45,-0.01128684425746352
459,05,inf_parietal,45,99,0.058762043062267566
460,05,inf_parietal,99,153,0.02130314073058353
461,05,inf_parietal,99,207,-0.013918106438307425
462,05,inf_parietal,99,45,0.018972237088660082
463,05,inf_parietal,99,99,-0.059546948534889246
464,05,v5,153,153,0.08096724942176295
465,05,v5,153,207,-0.010758120433369267
466,05,v5,153,45,-0.14930182022733118
467,05,v5,153,99,0.04219091091423005
468,05,v5,207,153,-0.026597214848327916
469,05,v5,207,207,-0.02955464876831772
470,05,v5,207,45,0.1864198647107203
471,05,v5,207,99,-0.15438418470770565
472,05,v5,45,153,-0.05181119451533644
473,05,v5,45,207,0.08171309188954651
474,05,v5,45,45,-0.10268557695236763
475,05,v5,45,99,0.1118639795159951
476,05,v5,99,153,-0.020022898710676987
477,05,v5,99,207,-0.0460150105730808
478,05,v5,99,45,0.05047717656993487
479,05,v5,99,99,-0.009222180873848539
480,06,premotor,153,153,-0.025214264408213255
481,06,premotor,153,207,0.028929383889585054
482,06,premotor,153,45,-0.0009145370785777589
483,06,premotor,153,99,-0.0028125960422298504
484,06,premotor,207,153,0.006933858069969295
485,06,premotor,207,207,-0.011787935736729751
486,06,premotor,207,45,-0.024433029806218934
487,06,premotor,207,99,0.035684754691491155
488,06,premotor,45,153,0.022244007508714872
489,06,premotor,45,207,0.010254572046953842
490,06,premotor,45,45,0.013196294976117328
491,06,premotor,45,99,-0.04492122361384272
492,06,premotor,99,153,0.010334923362642974
493,06,premotor,99,207,-0.03169892065006218
494,06,premotor,99,45,0.006730728194590259
495,06,premotor,99,99,0.01021562237607968
496,06,motor,153,153,-0.023023467249776886
497,06,motor,153,207,0.06870798504193829
498,06,motor,153,45,-0.08416877988627089
499,06,motor,153,99,0.043855983384951995
500,06,motor,207,153,0.036134527527635935
501,06,motor,207,207,-0.05170809262571753
502,06,motor,207,45,0.011891948042861866
503,06,motor,207,99,-0.008960536498186143
504,06,motor,45,153,-0.024867173809971825
505,06,motor,45,207,0.010344978769337642
506,06,motor,45,45,0.0601684366184949
507,06,motor,45,99,-0.06084776577556904
508,06,motor,99,153,0.01328261417403229
509,06,motor,99,207,-0.03311180188494087
510,06,motor,99,45,-0.007311608917892037
511,06,motor,99,99,0.05128424343753136
512,06,v1,153,153,0.04572184052755443
513,06,v1,153,207,-0.03389830543892734
514,06,v1,153,45,-0.024446133202586463
515,06,v1,153,99,0.014396872529022492
516,06,v1,207,153,0.05570950941987314
517,06,v1,207,207,-0.007057472372398002
518,06,v1,207,45,-0.07420981200370436
519,06,v1,207,99,0.0011967799821047988
520,06,v1,45,153,-0.0822351627294517
521,06,v1,45,207,0.05565298885425002
522,06,v1,45,45,0.08522143562978057
523,06,v1,45,99,-0.05603805970018612
524,06,v1,99,153,-0.009339855963270846
525,06,v1,99,207,-0.029897260268737527
526,06,v1,99,45,0.003125244736035427
527,06,v1,99,99,0.049981200886257876
528,06,sup_parietal,153,153,0.04338161970615789
529,06,sup_parietal,153,207,0.08952758420102698
530,06,sup_parietal,153,45,-0.10255748318332292
531,06,sup_parietal,153,99,-0.0915445989114895
532,06,sup_parietal,207,153,0.015455134276445022
533,06,sup_parietal,207,207,-0.09989735687920635
534,06,sup_parietal,207,45,-0.009698976981232846
535,06,sup_parietal,207,99,0.11421306070605514
536,06,sup_parietal,45,153,0.003252579909383879
537,06,sup_parietal,45,207,-0.011639083000299722
538,06,sup_parietal,45,45,0.03987361231884457
539,06,sup_parietal,45,99,-0.03601833478825598
540,06,sup_parietal,99,153,-0.027081092578791523
541,06,sup_parietal,99,207,0.01987899088892261
542,06,sup_parietal,99,45,0.07839028198128957
543,06,sup_parietal,99,99,-0.03047439960212485
544,06,inf_parietal,153,153,0.00861269769761229
545,06,inf_parietal,153,207,-0.0005324180736055277
546,06,inf_parietal,153,45,-0.015027512778580856
547,06,inf_parietal,153,99,0.021991598748049675
548,06,inf_parietal,207,153,0.008478850970931491
549,06,inf_parietal,207,207,-0.07387204785750788
550,06,inf_parietal,207,45,0.03479371728075799
551,06,inf_parietal,207,99,0.01711387248643799
552,06,inf_parietal,45,153,-0.014219045384589518
553,06,inf_parietal,45,207,-0.0068600912554206825
554,06,inf_parietal,45,45,0.03513409115986093
555,06,inf_parietal,45,99,-0.01561834505598061
556,06,inf_parietal,99,153,-0.008771380788762587
557,06,inf_parietal,99,207,0.048065389913634224
558,06,inf_parietal,99,45,-0.04252402582832016
559,06,inf_parietal,99,99,-1.7143257164297515e-05
560,06,v5,153,153,-0.09244627402127535
561,06,v5,153,207,-0.03857327629886784
562,06,v5,153,45,0.12271526288549937
563,06,v5,153,99,0.008570883756032377
564,06,v5,207,153,0.06636602203506589
565,06,v5,207,207,-0.02545193382242996
566,06,v5,207,45,-0.024324280805643854
567,06,v5,207,99,0.02102739607366029
568,06,v5,45,153,0.10894837916734695
569,06,v5,45,207,-0.0683737436342258
570,06,v5,45,45,-0.0902755004528911
571,06,v5,45,99,0.038672194523012765
572,06,v5,99,153,-0.09038013380053779
573,06,v5,99,207,0.05286541340483243
574,06,v5,99,45,0.06934196302351739
575,06,v5,99,99,-0.053691968174532034
576,07,premotor,153,153,-0.008911007636150325
577,07,premotor,153,207,-0.034914858506195946
578,07,premotor,153,45,-0.02861115129552349
579,07,premotor,153,99,0.06036775036445344
580,07,premotor,207,153,0.014407797582743184
581,07,premotor,207,207,0.02304414585122467
582,07,premotor,207,45,0.013590500492418113
583,07,premotor,207,99,-0.052280504222785185
584,07,premotor,45,153,0.01524851202424644
585,07,premotor,45,207,0.0016916546820884143
586,07,premotor,45,45,0.0032660820144278296
587,07,premotor,45,99,0.0005086878267090873
588,07,premotor,99,153,-0.015959136891301986
589,07,premotor,99,207,0.008769229395040882
590,07,premotor,99,45,0.015233209298911175
591,07,premotor,99,99,-0.011497590491514102
592,07,motor,153,153,0.05789613362000444
593,07,motor,153,207,-0.08362986309374928
594,07,motor,153,45,0.007654940647421393
595,07,motor,153,99,-0.01436345900578501
596,07,motor,207,153,-0.05475808995450092
597,07,motor,207,207,0.053521534978221805
598,07,motor,207,45,0.022599003824158158
599,07,motor,207,99,-0.009556712554958966
600,07,motor,45,153,0.020823603670838395
601,07,motor,45,207,0.023572154082072628
602,07,motor,45,45,-0.02652740199813828
603,07,motor,45,99,-0.011053280572748299
604,07,motor,99,153,-0.026380863976151327
605,07,motor,99,207,-0.003314148015469737
606,07,motor,99,45,-6.878759773350229e-05
607,07,motor,99,99,0.03762066613371974
608,07,v1,153,153,-0.009854637615474258
609,07,v1,153,207,-0.06011749033662828
610,07,v1,153,45,0.015451560030907665
611,07,v1,153,99,0.04639702221747462
612,07,v1,207,153,-0.00712949926027126
613,07,v1,207,207,0.035583897744577306
614,07,v1,207,45,-0.011710392920473146
615,07,v1,207,99,-0.0278876533154162
616,07,v1,45,153,0.0726221344629131
617,07,v1,45,207,0.02189630239332311
618,07,v1,45,45,-0.010971356980820012
619,07,v1,45,99,-0.05620514178077647
620,07,v1,99,153,-0.05846418572184369
621,07,v1,99,207,-0.004676774131793285
622,07,v1,99,45,0.008743555338409183
623,07,v1,99,99,0.04066901133732789
624,07,sup_parietal,153,153,-0.004929866244161009
625,07,sup_parietal,153,207,-0.0029418007703825265
626,07,sup_parietal,153,45,0.020254273035415146
627,07,sup_parietal,153,99,-0.01069250677733495
628,07,sup_parietal,207,153,-0.030801872744537936
629,07,sup_parietal,207,207,0.06211682757645407
630,07,sup_parietal,207,45,-0.08462682346980263
631,07,sup_parietal,207,99,0.03938323293974641
632,07,sup_parietal,45,153,-0.005583875980643381
