,Participants,Masks,Rotate Direction,Straight Direction,Correlation
126,02,motor,99,45,0.027635929568334664
127,02,motor,99,99,0.06014294209079934
128,02,v1,153,153,-0.028715592824704768
129,02,v1,153,207,0.057552233283873315
130,02,v1,153,45,-0.023549924059840306
131,02,v1,153,99,-0.027290331960902175
132,02,v1,207,153,-0.027313602620632434
133,02,v1,207,207,-0.06006755215413583
134,02,v1,207,45,0.10057509010259083
135,02,v1,207,99,-0.006779517426870059
136,02,v1,45,153,0.05649753619426728
137,02,v1,45,207,-0.0371662117638982
138,02,v1,45,45,-0.050747434973393346
139,02,v1,45,99,0.026295845786355042
140,02,v1,99,153,0.017982600174779564
141,02,v1,99,207,0.030944814926289938
142,02,v1,99,45,-0.033826329027653014
143,02,v1,99,99,0.008846317053091513
144,02,sup_parietal,153,153,0.07474879377310845
145,02,sup_parietal,153,207,0.01766887687503758
146,02,sup_parietal,153,45,-0.0876576594471757
147,02,sup_parietal,153,99,0.028063215707911697
148,02,sup_parietal,207,153,-0.051825801951381575
149,02,sup_parietal,207,207,-0.010817980835858398
150,02,sup_parietal,207,45,0.10738134510739915
151,02,sup_parietal,207,99,0.0061769116924768365
152,02,sup_parietal,45,153,0.045894399525266465
153,02,sup_parietal,45,207,-0.026356998256279584
154,02,sup_parietal,45,45,-0.04864632696690915
155,02,sup_parietal,45,99,0.0005506415658407581
156,02,sup_parietal,99,153,-0.041344794012030235
157,02,sup_parietal,99,207,-0.0005294952495829598
158,02,sup_parietal,99,45,0.004207506475243514
159,02,sup_parietal,99,99,-0.017581965849081012
160,02,inf_parietal,153,153,0.01371221514142287
161,02,inf_parietal,153,207,0.07447155589614655
162,02,inf_parietal,153,45,-0.07665852477082724
163,02,inf_parietal,153,99,-0.01231959107451973
164,02,inf_parietal,207,153,-0.02692755988302361
165,02,inf_parietal,207,207,0.0059327753157081345
166,02,inf_parietal,207,45,0.036861938372673875
167,02,inf_parietal,207,99,-0.0062636199319104965
168,02,inf_parietal,45,153,-0.010234925106486383
169,02,inf_parietal,45,207,-0.022177925515139727
170,02,inf_parietal,45,45,-0.041431020126583916
171,02,inf_parietal,45,99,0.0754429092182822
172,02,inf_parietal,99,153,0.02688874567365322
173,02,inf_parietal,99,207,-0.0812148829836589
174,02,inf_parietal,99,45,0.09029747453392126
175,02,inf_parietal,99,99,-0.04075931280044866
176,02,v5,153,153,-0.09011963933290162
177,02,v5,153,207,0.1374666318689465
178,02,v5,153,45,0.004133560409602208
179,02,v5,153,99,-0.08670958396376124
180,02,v5,207,153,-0.03945564910641904
181,02,v5,207,207,-0.10693691201991123
182,02,v5,207,45,0.1258058778848702
183,02,v5,207,99,0.0672478721830698
184,02,v5,45,153,0.04304460295426908
185,02,v5,45,207,-0.03628583241534598
186,02,v5,45,45,-0.09552107279045659
187,02,v5,45,99,0.07682079036752139
188,02,v5,99,153,0.10390300956593648
189,02,v5,99,207,-0.020927135293182023
190,02,v5,99,45,-0.019506052867415743
191,02,v5,99,99,-0.06858586244011858
192,03,premotor,153,153,-0.006077069206036014
193,03,premotor,153,207,0.040900210088780434
194,03,premotor,153,45,0.0010104351029202492
195,03,premotor,153,99,-0.028531527423430222
196,03,premotor,207,153,-0.04277240888545976
197,03,premotor,207,207,-0.019171911538102583
198,03,premotor,207,45,0.06549903044310476
199,03,premotor,207,99,-0.00115504368143474
200,03,premotor,45,153,0.0389241944421773
201,03,premotor,45,207,-0.045415208294260545
202,03,premotor,45,45,-0.009505018793544697
203,03,premotor,45,99,0.012335208145981321
204,03,premotor,99,153,0.008541420962756258
205,03,premotor,99,207,0.01873511527416249
206,03,premotor,99,45,-0.060178115069064064
207,03,premotor,99,99,0.026064860908609686
208,03,motor,153,153,0.12572699225002476
209,03,motor,153,207,-0.051572019876077124
210,03,motor,153,45,-0.02999922717118143
211,03,motor,153,99,-0.047134834894477146
212,03,motor,207,153,-0.12651120999388016
213,03,motor,207,207,0.10765833559247238
214,03,motor,207,45,0.025467494157543326
215,03,motor,207,99,0.008844561236628443
216,03,motor,45,153,-0.038608641506874146
217,03,motor,45,207,-0.015122216146384145
218,03,motor,45,45,0.08869802254019765
219,03,motor,45,99,-0.0199492593519305
220,03,motor,99,153,0.06158247013330423
221,03,motor,99,207,-0.06220564020011729
222,03,motor,99,45,-0.09048531092641382
