,Participants,Masks,Rotate Direction,Rotate Direction_,Correlation
358,04,inf_parietal,207,45,0.3318526387915413
359,04,inf_parietal,207,99,0.208649889779705
360,04,inf_parietal,45,153,0.3385921463004528
361,04,inf_parietal,45,207,0.28856350591336366
362,04,inf_parietal,45,45,-0.9166882144322382
363,04,inf_parietal,45,99,0.3338808640568233
364,04,inf_parietal,99,153,0.2769323404139816
365,04,inf_parietal,99,207,0.2346273554342457
366,04,inf_parietal,99,45,0.3391591613055249
367,04,inf_parietal,99,99,-0.8777070252843553
368,04,v5,153,153,-0.8442180789029073
369,04,v5,153,207,0.22614722552631983
370,04,v5,153,45,0.2367514636228283
371,04,v5,153,99,0.33127546579195366
372,04,v5,207,153,0.24736931448527186
373,04,v5,207,207,-0.7987640791032649
374,04,v5,207,45,0.21270211438612047
375,04,v5,207,99,0.22417799112491327
376,04,v5,45,153,0.2610433321445146
377,04,v5,45,207,0.32447931269904956
378,04,v5,45,45,-0.8203333322428743
379,04,v5,45,99,0.28723891810370333
380,04,v5,99,153,0.28427149493127934
381,04,v5,99,207,0.2130634587642924
382,04,v5,99,45,0.3818791019010773
383,04,v5,99,99,-0.8037558658542059
384,05,premotor,153,153,-0.8843427775571138
385,05,premotor,153,207,0.2847978346701825
386,05,premotor,153,45,0.31569388789355535
387,05,premotor,153,99,0.3385090627376235
388,05,premotor,207,153,0.3033154994184013
389,05,premotor,207,207,-0.8934263644160911
390,05,premotor,207,45,0.28424444145788774
391,05,premotor,207,99,0.274870445331467
392,05,premotor,45,153,0.2704976806992144
393,05,premotor,45,207,0.274347852458338
394,05,premotor,45,45,-0.902749947387605
395,05,premotor,45,99,0.3001854309123566
396,05,premotor,99,153,0.3293129996595326
397,05,premotor,99,207,0.2740505732065749
398,05,premotor,99,45,0.2946405317463289
399,05,premotor,99,99,-0.9129471621029298
400,05,motor,153,153,-0.8528179571700021
401,05,motor,153,207,0.23927582585305363
402,05,motor,153,45,0.3097603397617611
403,05,motor,153,99,0.2905920861384137
404,05,motor,207,153,0.26045307401580076
405,05,motor,207,207,-0.8679143885281229
406,05,motor,207,45,0.242816044858524
407,05,motor,207,99,0.28411958590518704
408,05,motor,45,153,0.2722438837593352
409,05,motor,45,207,0.2300065641615217
